corp_code,stock_code,corp_name,market,ksic_code,ksic_name,memo,updated_at
"=""00563545""","=""367770""",두산테스나,KOSDAQ,M739,"그 외 기타 전문, 과학 및 기술 서비스업","반도체 A | 반도체 테스트(OSAT) | Wafer Test·PKG Test, 매출 대부분 반도체 테스트",2026-07-12
"=""00369657""","=""058430""",리노공업,KOSDAQ,C2629,기타 전자 부품 제조업,"반도체 A | IC 테스트소켓·핀 | LEENO PIN, IC TEST SOCKET 등 88.9%, 의료기기부품 겸업(11.1%)",2026-07-12
"=""00126380""","=""005930""",삼성전자,KOSPI,C264,통신 및 방송장비 제조업,"반도체 C | 메모리·시스템반도체(DS부문) | DS부문 매출비중 39.0%, DX(가전·모바일) 비중이 더 큼(56.3%)",2026-07-12
"=""01095722""","=""058650""",심텍,KOSDAQ,C2622,인쇄회로기판 및 전자부품 실장기판 제조업,"반도체 A | 반도체 패키지 기판 | Package Substrate 75.4%, Module PCB 24.6%",2026-07-12
"=""00411048""","=""034230""",에스앤에스텍,KOSDAQ,C2629,기타 전자 부품 제조업,"반도체 A | 반도체·FPD용 블랭크마스크 | 블랭크마스크 96.3%, 신기술금융업 겸업 소액",2026-07-12
"=""01109539""","=""041920""",와이씨,KOSDAQ,C292,특수 목적용 기계 제조업,반도체 A | 반도체 웨이퍼 테스터 | 메모리 웨이퍼 테스터 및 부속품 98.1%,2026-07-12
"=""01135941""","=""240810""",원익IPS,KOSDAQ,C292,특수 목적용 기계 제조업,"반도체 B | 반도체·디스플레이·태양광 장비 겸업 | 3개 산업용 장비를 묶어 매출 공시, 반도체 단독 비중 특정 불가",2026-07-12
"=""00531014""","=""039440""",유진테크,KOSDAQ,C29271,반도체 제조용 기계 제조업,"반도체 A | 반도체 증착장비·소재 | LPCVD 등 장비 81.0%, 반도체 소재(전구체) 4.2%",2026-07-12
"=""00246417""","=""011930""",이오테크닉스,KOSDAQ,C29271,반도체 제조용 기계 제조업,"반도체 B | 레이저 응용장비 | 레이저마커 등 74.5%, 반도체 전용 매출 구분 없이 '전사' 기준 공시",2026-07-12
"=""00447487""","=""090460""",제주반도체,KOSDAQ,C2611,전자집적회로 제조업,"반도체 A | 팹리스(모바일 메모리) | NAND MCP·DRAM 등 모바일 메모리, 매출 100% 반도체",2026-07-12
"=""00252135""","=""036930""",주성엔지니어링,KOSDAQ,C29229,기타 가공 공작기계 제조업,"반도체 B | 반도체·디스플레이·태양전지 장비 겸업 | 3개 산업용 장비를 묶어 매출 공시, 반도체 단독 비중 특정 불가",2026-07-12
"=""01261893""","=""063770""",케이씨텍,KOSPI,C272,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외","반도체 A | 반도체 CMP 장비·소재 | 반도체부문(CMP 장비, Slurry) 90.3%, 디스플레이부문 겸업(9.7%)",2026-07-12
"=""00997812""","=""054450""",코미코,KOSDAQ,C29271,반도체 제조용 기계 제조업,"반도체 A | 반도체 장비부품 재생(세정·코팅) | 세정·코팅·부품, 매출 100% 반도체 장비 유지보수",2026-07-12
"=""01366000""","=""323280""",태성,KOSDAQ,C292,특수 목적용 기계 제조업,"반도체 B | 반도체·디스플레이 정밀장비 | 정면기·표면처리·식각장비 등, 용역·상품·기타매출 비중 37%",2026-07-12
"=""00535676""","=""204940""",테크윙,KOSDAQ,C29271,반도체 제조용 기계 제조업,"반도체 A | 반도체 검사장비 | Test Handler 등 93.1%, 디스플레이평가장비 자회사 겸업(6.9%)",2026-07-12
"=""00245472""","=""036620""",티씨케이,KOSDAQ,C23999,그 외 기타 분류 안된 비금속 광물제품 제조업,"반도체 A | 반도체 공정용 SiC·흑연 부품 | Solid SiC부문 84.6%, Graphite(반도체용) 11.0%",2026-07-12
"=""01292291""","=""224110""",파두,KOSDAQ,C26112,비메모리용 및 기타 전자집적회로 제조업,"반도체 A | 팹리스(SSD 컨트롤러) | SSD 컨트롤러·완제품 설계, 주요제품 매출 89.5%",2026-07-12
"=""01365825""","=""066800""",피에스케이,KOSDAQ,C29271,반도체 제조용 기계 제조업,"반도체 A | 반도체 공정장비 | 반도체 제조용 장비 및 부품·용역, 매출 100% 반도체",2026-07-12
"=""00208444""","=""020960""",피에스케이홀딩스,KOSDAQ,C29271,반도체 제조용 기계 제조업,"반도체 A | 반도체 공정장비(지주회사) | 반도체 제조용 장비 및 부품·용역, 매출 100% 반도체",2026-07-12
"=""00938721""","=""039030""",필옵틱스,KOSDAQ,C2927,반도체 및 디스플레이 제조용 기계 제조업,"반도체 C | OLED·이차전지 공정장비 | 반도체 공정장비(TGV 등) 비중 11.7%에 불과, 주력은 디스플레이(52.6%)·이차전지(32.1%)",2026-07-12
"=""00445054""","=""081370""",하나마이크론,KOSDAQ,C2611,전자집적회로 제조업,"반도체 A | 반도체 패키징·재료 | PKG 등 반도체제조 82.2%, 반도체재료(실리콘부품) 17.8%",2026-07-12
"=""00660750""","=""205470""",하나머티리얼즈,KOSDAQ,C2612,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",반도체 A | 반도체 식각장비 소모품 | 실리콘부품 등 반도체 부품 99.78%,2026-07-12
"=""00161383""","=""042700""",한미반도체,KOSPI,C29271,반도체 제조용 기계 제조업,"반도체 A | 반도체 후공정 장비(본더) | Bonder 등 반도체 제조용 장비, 매출 100% 반도체",2026-07-12
